name,age,position,position_cat,market_value,page_views,fpl_value,fpl_sel,fpl_points,region,new_foreign,age_cat,club_id,big_club,new_signing
Alexis Sanchez,28,LW,1,65.0,4329,12.0,0.171,264,3.0,0,4,1,1,0
Mesut Ozil,28,AM,1,50.0,4395,9.5,0.055999999999999994,167,2.0,0,4,1,1,0
Petr Cech,35,GK,4,7.0,1529,5.5,0.059000000000000004,134,2.0,0,6,1,1,0
Theo Walcott,28,RW,1,20.0,2393,7.5,0.015,122,1.0,0,4,1,1,0
Laurent Koscielny,31,CB,3,22.0,912,6.0,0.006999999999999999,121,2.0,0,4,1,1,0
Hector Bellerin,22,RB,3,30.0,1675,6.0,0.13699999999999998,119,2.0,0,2,1,1,0
Olivier Giroud,30,CF,1,22.0,2230,8.5,0.025,116,2.0,0,4,1,1,0
Nacho Monreal,31,LB,3,13.0,555,5.5,0.047,115,2.0,0,4,1,1,0
Shkodran Mustafi,25,CB,3,30.0,1877,5.5,0.04,90,2.0,0,3,1,1,1
Alex Iwobi,21,LW,1,10.0,1812,5.5,0.01,89,4.0,0,1,1,1,0
Granit Xhaka,24,DM,2,35.0,1815,5.5,0.02,85,2.0,0,2,1,1,0
Alex Oxlade-Chamberlain,23,RM,2,22.0,1519,6.0,0.018000000000000002,83,1.0,0,2,1,1,0
Jack Wilshere,25,CM,2,18.0,1759,5.5,0.0,61,1.0,0,3,1,1,0
Aaron Ramsey,26,CM,2,35.0,1040,7.0,0.051,56,1.0,0,3,1,1,0
Francis Coquelin,26,DM,2,15.0,549,4.5,0.017,52,2.0,0,3,1,1,0
Gabriel Paulista,26,CB,3,13.0,552,5.0,0.001,45,3.0,0,3,1,1,0
Kieran Gibbs,27,LB,3,10.0,489,5.0,0.005,45,1.0,0,3,1,1,0
Santi Cazorla,32,CM,2,12.0,943,7.0,0.001,38,2.0,0,5,1,1,0
Danny Welbeck,26,CF,1,15.0,1521,7.5,0.005,37,1.0,0,3,1,1,0
Rob Holding,21,CB,3,7.0,666,5.0,0.017,32,1.0,0,1,1,1,1
Mohamed Elneny,25,DM,2,10.0,683,4.5,0.008,26,4.0,0,3,1,1,0
Lucas Perez,28,CF,1,15.0,2055,7.5,0.001,20,2.0,0,4,1,1,1
Emiliano Martinez,24,GK,4,1.0,372,4.0,0.042,8,3.0,0,2,1,1,0
David Ospina,28,GK,4,7.0,544,5.0,0.002,2,3.0,0,4,1,1,0
Carl Jenkinson,25,RB,3,5.0,561,4.5,0.004,2,1.0,0,3,1,1,0
Per Mertesacker,32,CB,3,6.0,702,5.0,0.01,1,2.0,0,5,1,1,0
Sead Kolasinac,24,LB,3,15.0,618,6.0,0.069,0,2.0,1,2,1,1,0
Alexandre Lacazette,26,CF,1,40.0,1183,10.5,0.265,0,2.0,1,3,1,1,0
Joshua King,25,SS,1,8.0,997,7.5,0.10400000000000001,178,2.0,0,3,2,0,0
Jermain Defoe,34,CF,1,5.0,3213,8.0,0.15,166,1.0,0,6,2,0,0
Charlie Daniels,30,LB,3,3.0,185,5.0,0.198,134,1.0,0,4,2,0,0
Artur Boruc,37,GK,4,1.0,436,4.5,0.069,120,2.0,0,6,2,0,0
Steve Cook,26,CB,3,5.0,184,5.0,0.02,112,1.0,0,3,2,0,0
Junior Stanislas,27,LW,1,4.5,315,6.0,0.006,107,1.0,0,3,2,0,0
Adam Smith,26,RB,3,5.0,200,5.0,0.009000000000000001,104,1.0,0,3,2,0,0
Ryan Fraser,23,LW,1,5.0,516,5.5,0.016,100,2.0,0,2,2,0,0
Simon Francis,32,RB,3,2.5,167,4.5,0.04,89,1.0,0,5,2,0,0
Benik Afobe,24,CF,1,10.0,528,6.0,0.006999999999999999,88,4.0,0,2,2,0,0
Harry Arter,27,CM,2,2.5,666,5.0,0.009000000000000001,84,2.0,0,3,2,0,0
Marc Pugh,30,LW,1,2.0,140,5.0,0.001,64,1.0,0,4,2,0,0
Callum Wilson,25,CF,1,10.0,337,6.0,0.002,63,1.0,0,3,2,0,0
Nathan Ake,22,CB,3,8.0,1274,5.0,0.115,55,2.0,0,2,2,0,0
Dan Gosling,27,CM,2,3.0,184,5.0,0.001,49,1.0,0,3,2,0,0
Andrew Surman,30,CM,2,2.0,154,4.5,0.011000000000000001,44,1.0,0,4,2,0,0
Jordon Ibe,21,RW,1,8.0,504,5.0,0.004,36,1.0,0,1,2,0,0
Lewis Cook,20,CM,2,6.0,243,4.5,0.008,17,1.0,0,1,2,0,0
Lys Mousset,21,CF,1,4.0,131,5.0,0.001,14,2.0,0,1,2,0,0
Adam Federici,32,GK,4,1.0,126,4.0,0.015,8,4.0,0,5,2,0,0
Max Gradel,29,LW,1,7.0,287,5.0,0.001,8,4.0,0,4,2,0,0
Tyrone Mings,24,CB,3,5.0,422,4.5,0.004,4,1.0,0,2,2,0,0
Brad Smith,23,LB,3,2.0,297,4.0,0.033,4,4.0,0,2,2,0,0
Asmir Begovic,30,GK,4,8.0,697,4.5,0.09300000000000001,2,2.0,0,4,2,0,0
Niki Maenpaa,32,GK,4,0.25,103,4.0,0.021,0,2.0,0,5,3,0,0
Mathew Ryan,25,GK,4,3.5,344,4.5,0.015,0,4.0,0,3,3,0,0
Lewis Dunk,25,CB,3,5.0,140,4.5,0.040999999999999995,0,1.0,0,3,3,0,0
Shane Duffy,25,CB,3,5.0,243,4.5,0.006,0,2.0,0,3,3,0,0
Uwe Hunemeier,31,CB,3,1.5,88,4.0,0.08,0,2.0,0,4,3,0,0
Bruno,36,RB,1,0.5,215,4.5,0.004,0,3.0,0,6,3,0,0
Gaetan Bong,29,LB,3,1.5,97,4.5,0.002,0,4.0,0,4,3,0,0
Liam Rosenior,33,RB,3,1.0,132,4.0,0.032,0,1.0,0,5,3,0,0
Connor Goldson,24,CB,3,0.75,52,4.0,0.008,0,1.0,0,2,3,0,0
Markus Suttner,30,LB,3,2.0,23,4.5,0.002,0,2.0,0,4,3,0,0
Anthony Knockaert,25,RW,1,8.0,726,6.0,0.048,0,2.0,0,3,3,0,0
Dale Stephens,27,CM,2,5.0,122,4.5,0.009000000000000001,0,1.0,0,3,3,0,0
Beram Kayal,29,CM,2,1.25,167,4.5,0.003,0,4.0,0,4,3,0,0
Steve Sidwell,34,CM,2,1.0,461,4.5,0.006,0,1.0,0,6,3,0,0
Solly March,23,RM,2,0.5,139,5.0,0.002,0,1.0,0,2,3,0,0
Jiri Skalak,25,LW,1,1.5,87,5.0,0.001,0,2.0,0,3,3,0,0
Oliver Norwood,26,CM,2,2.5,134,4.5,0.002,0,2.0,0,3,3,0,0
Jamie Murphy,27,LW,1,1.75,114,5.0,0.001,0,2.0,0,3,3,0,0
Pascal Gross,26,CM,2,4.0,22,5.5,0.003,0,2.0,0,3,3,0,0
Glenn Murray,33,CF,1,3.5,496,6.0,0.013000000000000001,0,1.0,0,5,3,0,0
Tomer Hemed,30,CF,1,2.5,253,5.0,0.004,0,4.0,0,4,3,0,0
Sam Baldock,28,CF,1,3.0,204,5.0,0.002,0,1.0,0,4,3,0,0
Tom Heaton,31,GK,4,4.0,717,5.0,0.135,149,1.0,0,4,4,0,0
Sam Vokes,27,CF,1,4.5,290,6.0,0.028999999999999998,121,2.0,0,3,4,0,0
Andre Gray,26,CF,1,10.0,687,6.5,0.017,108,1.0,0,3,4,0,0
Ben Mee,27,CB,3,6.0,166,4.5,0.13699999999999998,94,1.0,0,3,4,0,0
Stephen Ward,31,LB,3,1.5,152,4.5,0.025,91,2.0,0,4,4,0,0
Matthew Lowton,28,RB,3,2.5,121,4.5,0.012,90,1.0,0,4,4,0,0
Ashley Barnes,27,CF,1,2.5,287,5.5,0.012,81,1.0,0,3,4,0,0
Jeff Hendrick,25,CM,2,6.0,352,5.5,0.002,76,2.0,0,3,4,0,1
Scott Arfield,28,LM,2,3.0,304,5.0,0.001,69,3.0,0,4,4,0,0
Steven Defour,29,CM,2,6.0,336,5.5,0.002,54,2.0,0,4,4,0,1
Dean Marney,33,CM,2,1.0,171,4.5,0.0,51,1.0,0,5,4,0,0
Jack Cork,28,DM,2,5.0,204,4.5,0.005,50,1.0,0,4,4,0,0
Johann Berg Gudmundsson,26,RW,1,2.5,180,5.0,0.001,47,2.0,0,3,4,0,1
Robbie Brady,25,LM,2,10.0,614,5.5,0.004,39,2.0,0,3,4,0,0
James Tarkowski,24,CB,3,2.0,116,4.5,0.001,23,1.0,0,2,4,0,0
Ashley Westwood,27,DM,2,4.0,161,4.5,0.001,13,1.0,0,3,4,0,0
Kevin Long,26,CB,3,0.5,68,4.0,0.017,3,2.0,0,3,4,0,0
Matthew Taylor,35,LM,2,0.25,255,4.5,0.004,0,1.0,0,6,4,0,0
Eden Hazard,26,LW,1,75.0,4220,10.5,0.023,224,2.0,0,3,5,1,0
Diego Costa,28,CF,1,50.0,4454,10.0,0.03,196,2.0,0,4,5,1,0
Gary Cahill,31,CB,3,16.0,1420,6.5,0.12,178,1.0,0,4,5,1,0
Marcos Alonso Mendoza,26,LB,3,25.0,3069,7.0,0.12400000000000001,177,2.0,0,3,5,1,1
Cesar Azpilicueta,27,RB,3,30.0,869,6.5,0.12300000000000001,170,2.0,0,3,5,1,0
Pedro,29,RW,1,28.0,1500,8.0,0.078,162,2.0,0,4,5,1,0
Thibaut Courtois,25,GK,4,40.0,1260,5.5,0.185,141,2.0,0,3,5,1,0
David Luiz,30,CB,3,30.0,2745,6.0,0.203,132,3.0,0,4,5,1,0
Cesc Fabregas,30,CM,2,35.0,2378,7.0,0.075,121,2.0,0,4,5,1,0
Willian,28,RW,1,32.0,1165,7.0,0.09,114,3.0,0,4,5,1,0
Victor Moses,26,RM,2,18.0,2537,6.5,0.002,105,4.0,0,3,5,1,0
Nemanja Matic,28,DM,2,35.0,892,5.0,0.05,105,2.0,0,4,5,1,0
N%27Golo Kante,26,DM,2,50.0,4042,5.0,0.138,83,2.0,0,3,5,1,1
Willy Caballero,35,GK,4,1.5,542,5.0,0.002,64,3.0,0,6,5,1,0
Michy Batshuayi,23,CF,1,25.0,1162,8.5,0.016,48,2.0,0,2,5,1,1
Kurt Zouma,22,CB,3,15.0,723,5.5,0.008,15,2.0,0,2,5,1,0
Kenedy,21,LB,3,7.0,566,5.0,0.001,3,3.0,0,1,5,1,0
Eduardo Carvalho,34,LW,1,0.05,467,5.0,0.001,0,2.0,0,6,5,1,1
Antonio Rudiger,24,CB,3,25.0,454,6.0,0.064,0,2.0,1,2,5,1,0
Tiemoue Bakayoko,22,DM,2,16.0,1011,5.0,0.016,0,2.0,1,2,5,1,0
Wilfried Zaha,24,RW,1,18.0,1709,7.0,0.209,149,4.0,0,2,6,0,0
Christian Benteke,26,CF,1,28.0,1661,8.0,0.105,136,2.0,0,3,6,0,1
Andros Townsend,26,RW,1,12.0,693,6.0,0.027000000000000003,116,1.0,0,3,6,0,1
Patrick van Aanholt,26,LB,3,9.0,524,5.5,0.042,98,2.0,0,3,6,0,0
James McArthur,29,CM,2,7.0,216,4.5,0.109,93,2.0,0,4,6,0,0
Wayne Hennessey,30,GK,4,4.0,242,4.5,0.021,92,2.0,0,4,6,0,0
Jason Puncheon,31,AM,1,5.5,427,5.0,0.012,92,1.0,0,4,6,0,0
Yohan Cabaye,31,CM,2,15.0,456,5.5,0.013999999999999999,91,2.0,0,4,6,0,0
Joel Ward,27,RB,3,5.0,154,5.0,0.006,86,1.0,0,3,6,0,0
James Tomkins,28,CB,3,7.0,208,4.5,0.02,75,1.0,0,4,6,0,1
Scott Dann,30,CB,3,5.0,217,5.0,0.011000000000000001,61,1.0,0,4,6,0,0
Damien Delaney,36,CB,3,1.0,195,4.5,0.006,51,2.0,0,6,6,0,0
Jeffrey Schlupp,24,LB,3,8.0,385,5.0,0.003,47,4.0,0,2,6,0,0
Martin Kelly,27,RB,3,3.0,210,4.5,0.003,46,1.0,0,3,6,0,0
Luka Milivojevic,26,DM,2,10.0,407,5.0,0.002,42,2.0,0,3,6,0,0
Lee Chung-yong,29,RW,1,1.5,327,4.5,0.001,24,4.0,0,4,6,0,0
Connor Wickham,24,CF,1,6.0,248,5.5,0.0,18,1.0,0,2,6,0,0
Bakary Sako,29,LW,1,6.0,226,5.0,0.001,7,4.0,0,4,6,0,0
Pape Souare,27,LB,3,6.0,186,4.5,0.0,6,4.0,0,3,6,0,0
Ruben Loftus-Cheek,21,CM,2,5.0,685,4.5,0.16399999999999998,6,1.0,0,1,6,0,0
Julian Speroni,38,GK,4,0.25,188,4.0,0.02,0,3.0,0,6,6,0,0
Ross Barkley,23,AM,1,25.0,1413,7.5,0.006999999999999999,144,1.0,0,2,7,0,0
Leighton Baines,32,LB,3,12.0,491,6.0,0.1,135,1.0,0,5,7,0,0
Seamus Coleman,28,RB,3,17.0,843,6.5,0.004,133,2.0,0,4,7,0,0
Ashley Williams,32,CB,3,8.0,599,5.5,0.047,127,2.0,0,5,7,0,1
Kevin Mirallas,29,RW,1,13.0,417,6.5,0.032,119,2.0,0,4,7,0,0
Michael Keane,24,CB,3,18.0,1362,5.5,0.131,113,1.0,0,2,7,0,0
Phil Jagielka,34,CB,3,2.0,566,5.0,0.063,104,1.0,0,6,7,0,0
Jordan Pickford,23,GK,4,15.0,719,5.0,0.146,102,1.0,0,2,7,0,0
Joel Robles,27,GK,4,5.0,304,4.5,0.004,89,2.0,0,3,7,0,0
Idrissa Gueye,27,CM,2,18.0,705,5.0,0.013000000000000001,80,4.0,0,3,7,0,1
Wayne Rooney,31,SS,1,15.0,7664,7.5,0.209,76,1.0,0,4,7,0,0
Ramiro Funes Mori,26,CB,3,12.0,460,5.0,0.001,69,3.0,0,3,7,0,0
Maarten Stekelenburg,34,GK,4,2.0,623,4.5,0.003,68,2.0,0,6,7,0,1
Gareth Barry,36,DM,2,1.5,1331,4.5,0.017,68,1.0,0,6,7,0,0
Tom Davies,19,CM,2,8.0,1354,5.5,0.01,63,1.0,0,1,7,0,0
Mason Holgate,20,CB,3,5.0,344,4.5,0.028999999999999998,54,1.0,0,1,7,0,0
Yannick Bolasie,28,LW,1,20.0,896,6.5,0.002,45,4.0,0,4,7,0,1
Morgan Schneiderlin,27,DM,2,22.0,1272,5.0,0.009000000000000001,37,2.0,0,3,7,0,1
Cuco Martina,27,RB,3,2.0,232,4.5,0.004,31,2.0,0,3,7,0,0
James McCarthy,26,CM,2,15.0,306,5.0,0.001,23,2.0,0,3,7,0,0
Aaron Lennon,30,RW,1,5.0,504,5.5,0.002,22,1.0,0,4,7,0,0
Dominic Calvert-Lewin,20,SS,1,3.5,343,5.0,0.003,17,1.0,0,1,7,0,1
Ademola Lookman,19,LW,1,5.0,1387,5.5,0.003,16,1.0,0,1,7,0,0
Matthew Pennington,22,CB,3,0.5,219,4.0,0.017,9,1.0,0,2,7,0,0
Jonjoe Kenny,20,RB,3,0.25,53,4.5,0.002,1,1.0,0,1,7,0,0
Muhamed Besic,24,DM,2,5.0,238,4.5,0.002,0,2.0,0,2,7,0,0
Davy Klaassen,24,AM,1,18.0,428,7.5,0.036000000000000004,0,2.0,1,2,7,0,0
Sandro Ramirez,22,CF,1,10.0,373,7.5,0.021,0,2.0,1,2,7,0,0
Joel Coleman,21,GK,4,0.25,36,4.0,0.024,0,1.0,0,1,8,0,0
Jonas Lossl,28,GK,4,1.5,56,4.5,0.005,0,2.0,0,4,8,0,0
Christopher Schindler,27,CB,3,2.0,73,4.5,0.009000000000000001,0,2.0,0,3,8,0,0
Chris Lowe,28,LB,3,1.5,84,4.5,0.006999999999999999,0,2.0,0,4,8,0,0
Tommy Smith,25,RB,3,2.0,65,5.0,0.011000000000000001,0,1.0,0,3,8,0,0
Michael Hefele,26,CB,3,1.5,116,4.5,0.002,0,2.0,0,3,8,0,0
Martin Cranie,30,CB,3,0.5,67,4.0,0.013999999999999999,0,1.0,0,4,8,0,0
Jon Gorenc Stankovic,21,CB,3,0.5,83,4.0,0.011000000000000001,0,2.0,0,1,8,0,0
Mark Hudson,35,CB,3,0.5,70,4.0,0.013999999999999999,0,1.0,0,6,8,0,0
Mathias Jorgensen,27,CB,3,2.5,107,4.5,0.002,0,2.0,0,3,8,0,0
Scott Malone,26,LB,3,0.75,81,4.5,0.001,0,1.0,0,3,8,0,0
Aaron Mooy,26,CM,2,5.0,588,5.5,0.025,0,4.0,0,3,8,0,0
Rajiv van La Parra,26,LW,1,2.0,174,5.0,0.003,0,2.0,0,3,8,0,0
Jonathan Hogg,28,CM,2,1.0,75,4.5,0.003,0,1.0,0,4,8,0,0
Philip Billing,21,CM,2,0.5,157,4.5,0.001,0,2.0,0,1,8,0,0
Joe Lolley,24,RW,1,0.25,63,4.5,0.001,0,1.0,0,2,8,0,0
Jack Payne,25,CM,2,0.25,81,4.5,0.001,0,1.0,0,3,8,0,0
Dean Whitehead,35,CM,2,0.25,161,4.5,0.001,0,1.0,0,6,8,0,0
Harry Bunn,24,LW,1,0.5,85,4.5,0.001,0,1.0,0,2,8,0,0
Sean Scannell,26,RW,1,0.5,85,4.5,0.001,0,2.0,0,3,8,0,0
Elias Kachunga,25,RW,1,3.5,231,6.0,0.006,0,4.0,0,3,8,0,0
Tom Ince,25,RW,1,7.0,512,6.0,0.026000000000000002,0,1.0,0,3,8,0,0
Kasey Palmer,20,AM,1,0.75,220,5.5,0.002,0,1.0,0,1,8,0,0
Andy Williams,26,CB,3,0.65,3,5.0,0.001,0,3.0,0,3,8,0,0
Nahki Wells,27,CF,1,5.0,247,5.0,0.006,0,3.0,0,3,8,0,0
Collin Quaner,26,CF,1,1.0,126,4.5,0.016,0,2.0,0,3,8,0,0
Laurent Depoitre,28,CF,1,3.0,212,5.5,0.003,0,2.0,0,4,8,0,0
Steve Mounie,22,CF,1,5.5,56,6.0,0.006,0,,0,2,8,0,0
Jamie Vardy,30,CF,1,15.0,2988,8.5,0.015,161,1.0,0,4,9,0,0
Riyad Mahrez,26,RW,1,30.0,1753,8.5,0.017,120,4.0,0,3,9,0,0
Kasper Schmeichel,30,GK,4,10.0,1601,5.0,0.024,109,2.0,0,4,9,0,0
Christian Fuchs,31,LB,3,6.0,417,5.0,0.035,104,2.0,0,4,9,0,0
Marc Albrighton,27,LM,2,6.0,347,5.5,0.011000000000000001,95,1.0,0,3,9,0,0
Robert Huth,32,CB,3,5.0,748,5.0,0.006,88,2.0,0,5,9,0,0
Danny Simpson,30,RB,3,5.0,428,4.5,0.055,85,1.0,0,4,9,0,0
Islam Slimani,29,CF,1,25.0,1581,7.0,0.006999999999999999,83,4.0,0,4,9,0,1
Harry Maguire,24,CB,3,8.0,488,5.0,0.015,71,1.0,0,2,9,0,0
Danny Drinkwater,27,CM,2,9.0,714,5.0,0.002,69,1.0,0,3,9,0,0
Wes Morgan,33,CB,3,3.0,649,4.5,0.033,63,3.0,0,5,9,0,0
Shinji Okazaki,31,CF,1,7.0,607,5.5,0.012,63,4.0,0,4,9,0,0
Wilfred Ndidi,20,DM,2,14.0,821,5.0,0.005,59,4.0,0,1,9,0,1
Demarai Gray,21,LW,1,9.0,593,5.5,0.011000000000000001,58,1.0,0,1,9,0,0
Daniel Amartey,22,DM,2,5.0,356,4.5,0.003,53,4.0,0,2,9,0,0
Andy King,28,CM,2,3.0,327,4.5,0.006999999999999999,41,2.0,0,4,9,0,0
Ahmed Musa,24,CF,1,17.0,742,6.5,0.015,39,4.0,0,2,9,0,1
Yohan Benalouane,30,CB,3,1.0,305,4.5,0.001,27,4.0,0,4,9,0,0
Leonardo Ulloa,30,CF,1,6.0,472,5.0,0.002,24,2.0,0,4,9,0,0
Ben Chilwell,20,LB,3,2.5,288,4.5,0.008,19,1.0,0,1,9,0,0
Nampalys Mendy,25,DM,2,10.0,325,4.5,0.001,6,2.0,0,3,9,0,1
Ben Hamer,29,GK,4,0.5,132,4.5,0.001,0,1.0,0,4,9,0,0
Molla Wague,26,CB,3,1.5,171,4.5,0.0,0,4.0,0,3,9,0,0
Vicente Iborra,29,DM,2,9.0,253,6.0,0.008,0,2.0,1,4,9,0,0
Roberto Firmino,25,SS,1,38.0,2196,8.5,0.203,180,3.0,0,3,10,1,0
Philippe Coutinho,25,AM,1,45.0,2958,9.0,0.308,171,3.0,0,3,10,1,0
Sadio Mane,25,LW,1,40.0,3219,9.5,0.053,156,4.0,0,3,10,1,1
Georginio Wijnaldum,26,CM,2,28.0,1280,7.0,0.071,149,2.0,0,3,10,1,1
James Milner,31,CM,2,12.0,1824,6.5,0.10400000000000001,139,1.0,0,4,10,1,0
Adam Lallana,29,AM,1,25.0,1808,7.5,0.064,139,1.0,0,4,10,1,0
Nathaniel Clyne,26,RB,3,21.0,602,5.5,0.045,129,1.0,0,3,10,1,0
Simon Mignolet,29,GK,4,12.0,721,5.0,0.016,110,2.0,0,4,10,1,0
Dejan Lovren,28,CB,3,17.0,708,5.5,0.013000000000000001,106,2.0,0,4,10,1,0
Emre Can,23,DM,2,15.0,1253,5.0,0.066,104,2.0,0,2,10,1,0
Joel Matip,25,CB,3,25.0,1313,5.5,0.023,97,2.0,0,3,10,1,1
Divock Origi,22,CF,1,12.0,1092,7.5,0.004,96,2.0,0,2,10,1,0
Jordan Henderson,27,CM,2,28.0,1236,5.5,0.018000000000000002,73,1.0,0,3,10,1,0
Daniel Sturridge,27,CF,1,20.0,2042,8.0,0.043,54,1.0,0,3,10,1,0
Lucas Leiva,30,DM,2,7.0,998,4.5,0.003,47,3.0,0,4,10,1,0
Ragnar Klavan,31,CB,3,3.5,875,4.5,0.004,43,2.0,0,4,10,1,1
Mamadou Sakho,27,CB,3,15.0,934,5.0,0.001,35,2.0,0,3,10,1,0
Loris Karius,24,GK,4,8.0,1255,5.0,0.002,32,2.0,0,2,10,1,0
Trent Alexander-Arnold,18,RB,3,1.5,327,4.5,0.003,15,2.0,0,1,10,1,0
